tracker;day;work_start_date;work_start_hour;work_finish_date;work_finish_hour
Forklift 28 T2;28 February Tuesday;28.02.2023;00:00;28.02.2023;23:51
Forklift 98 T5;1 February Wednesday;01.02.2023;00:21;01.02.2023;23:59
Forklift 98 T5;2 February Thursday;02.02.2023;00:00;02.02.2023;23:59
Forklift 98 T5;3 February Friday;03.02.2023;00:00;03.02.2023;23:59
Forklift 98 T5;4 February Saturday;04.02.2023;00:00;04.02.2023;23:59
Forklift 98 T5;5 February Sunday;05.02.2023;00:00;05.02.2023;23:59
Forklift 98 T5;6 February Monday;06.02.2023;00:00;06.02.2023;23:59
Forklift 98 T5;7 February Tuesday;07.02.2023;00:00;07.02.2023;23:59
Forklift 98 T5;8 February Wednesday;08.02.2023;00:00;08.02.2023;23:59
Forklift 98 T5;9 February Thursday;09.02.2023;00:00;09.02.2023;23:59
Forklift 98 T5;10 February Friday;10.02.2023;00:00;10.02.2023;23:59
Forklift 98 T5;11 February Saturday;11.02.2023;00:00;11.02.2023;23:59
Forklift 98 T5;12 February Sunday;12.02.2023;00:00;12.02.2023;23:59
Forklift 98 T5;13 February Monday;13.02.2023;00:00;13.02.2023;23:59
Forklift 98 T5;14 February Tuesday;14.02.2023;00:00;14.02.2023;23:59
Forklift 98 T5;15 February Wednesday;15.02.2023;00:00;15.02.2023;23:59
Forklift 98 T5;16 February Thursday;16.02.2023;00:00;16.02.2023;23:59
Forklift 98 T5;17 February Friday;17.02.2023;00:00;17.02.2023;23:59
Forklift 98 T5;18 February Saturday;18.02.2023;00:00;18.02.2023;23:59
Forklift 98 T5;19 February Sunday;19.02.2023;00:00;19.02.2023;23:59
Forklift 98 T5;20 February Monday;20.02.2023;00:00;20.02.2023;23:59
Forklift 98 T5;21 February Tuesday;21.02.2023;00:00;21.02.2023;23:59
Forklift 98 T5;22 February Wednesday;22.02.2023;00:00;22.02.2023;23:59
Forklift 98 T5;23 February Thursday;23.02.2023;00:00;23.02.2023;23:59
Forklift 98 T5;24 February Friday;24.02.2023;00:00;24.02.2023;23:59
Forklift 98 T5;25 February Saturday;25.02.2023;00:00;25.02.2023;23:59
Forklift 98 T5;26 February Sunday;26.02.2023;00:00;26.02.2023;23:59
Forklift 98 T5;27 February Monday;27.02.2023;00:00;27.02.2023;23:59
Forklift 98 T5;28 February Tuesday;28.02.2023;00:00;28.02.2023;23:59
Forklift 107 T6;1 February Wednesday;01.02.2023;00:17;01.02.2023;23:47
Forklift 107 T6;2 February Thursday;02.02.2023;00:16;02.02.2023;23:59
Forklift 107 T6;3 February Friday;03.02.2023;00:00;03.02.2023;23:59
Forklift 107 T6;4 February Saturday;04.02.2023;00:00;04.02.2023;23:59
Forklift 107 T6;5 February Sunday;05.02.2023;00:00;05.02.2023;23:59
Forklift 107 T6;6 February Monday;06.02.2023;00:00;06.02.2023;23:59
Forklift 107 T6;7 February Tuesday;07.02.2023;00:00;07.02.2023;23:59
Forklift 107 T6;8 February Wednesday;08.02.2023;00:00;08.02.2023;23:59
Forklift 107 T6;9 February Thursday;09.02.2023;00:00;09.02.2023;23:59
Forklift 107 T6;10 February Friday;10.02.2023;00:00;10.02.2023;23:59
Forklift 107 T6;11 February Saturday;11.02.2023;00:00;11.02.2023;23:59
Forklift 107 T6;12 February Sunday;12.02.2023;00:00;12.02.2023;23:59
