,tracker,work_start_date,work_start_hour,work_finish_date,work_finish_hour,duration,duration_seconds,ay,hafta,gün,hafta_günü,çeyrek,gün_saati
129,DD_234,2022-01-25,1900-01-01 00:00:00,2022-01-25,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,4,25,2,1,0
130,DD_185,2022-01-25,1900-01-01 00:00:00,2022-01-25,1900-01-01 23:58:00,0 days 23:58:00,86280.0,1,4,25,2,1,0
131,HD_023,2022-01-25,1900-01-01 12:28:00,2022-01-25,1900-01-01 23:58:00,0 days 11:30:00,41400.0,1,4,25,2,1,12
132,HD_024,2022-01-25,1900-01-01 00:00:00,2022-01-25,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,4,25,2,1,0
133,HD_022,2022-01-26,1900-01-01 00:01:00,2022-01-26,1900-01-01 23:58:00,0 days 23:57:00,86220.0,1,4,26,3,1,0
134,HD_024,2022-01-26,1900-01-01 00:00:00,2022-01-26,1900-01-01 23:56:00,0 days 23:56:00,86160.0,1,4,26,3,1,0
135,DD_126,2022-01-26,1900-01-01 00:00:00,2022-01-26,1900-01-01 23:02:00,0 days 23:02:00,82920.0,1,4,26,3,1,0
136,DD_185,2022-01-26,1900-01-01 00:01:00,2022-01-26,1900-01-01 23:59:00,0 days 23:58:00,86280.0,1,4,26,3,1,0
137,DD_234,2022-01-26,1900-01-01 00:00:00,2022-01-26,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,4,26,3,1,0
138,HD_023,2022-01-26,1900-01-01 00:01:00,2022-01-26,1900-01-01 23:01:00,0 days 23:00:00,82800.0,1,4,26,3,1,0
139,DD_126,2022-01-27,1900-01-01 00:10:00,2022-01-27,1900-01-01 23:59:00,0 days 23:49:00,85740.0,1,4,27,4,1,0
140,DD_185,2022-01-27,1900-01-01 00:00:00,2022-01-27,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,4,27,4,1,0
141,HD_022,2022-01-27,1900-01-01 00:02:00,2022-01-27,1900-01-01 23:55:00,0 days 23:53:00,85980.0,1,4,27,4,1,0
142,HD_024,2022-01-27,1900-01-01 00:02:00,2022-01-27,1900-01-01 23:57:00,0 days 23:55:00,86100.0,1,4,27,4,1,0
143,HD_023,2022-01-27,1900-01-01 00:11:00,2022-01-27,1900-01-01 23:59:00,0 days 23:48:00,85680.0,1,4,27,4,1,0
